date,old_dte,old_band,old_dte_key,old_lut_key,old_strategy,new_dte,new_band,new_dte_key,new_lut_key,new_strategy,strategy_changed
2024-09-23,8,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,8.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2024-09-24,7,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,7.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2024-09-25,6,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2024-09-26,5,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,5.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2024-09-27,4,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,4.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2024-09-30,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2024-10-01,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2024-10-04,4,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,4.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2024-10-07,3,18-22%,T-3,T-3|18-22%|NEUTRAL,NOT FOUND,3.0,18-22%,T-3,T-3|18-22%|NEUTRAL,NOT FOUND,False
2024-10-08,2,15-18%,T-2,T-2|15-18%|NEUTRAL,NOT FOUND,2.0,15-18%,T-2,T-2|15-18%|NEUTRAL,NOT FOUND,False
2024-10-09,1,15-18%,T-1,T-1|15-18%|NEUTRAL,NOT FOUND,6.0,15-18%,T-4,T-4|15-18%|NEUTRAL,NOT FOUND,False
2024-10-10,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,5.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2024-10-11,4,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,4.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2024-10-14,3,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,3.0,<13%,T-3,T-3|<13%|NEUTRAL,NOT FOUND,False
2024-10-15,2,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,2.0,<13%,T-2,T-2|<13%|NEUTRAL,NOT FOUND,False
2024-10-16,1,<13%,T-1,T-1|<13%|NEUTRAL,NOT FOUND,6.0,<13%,T-4,T-4|<13%|NEUTRAL,NOT FOUND,False
2024-10-18,4,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,4.0,13-15%,T-4,T-4|13-15%|NEUTRAL,NOT FOUND,False
2024-10-21,3,13-15%,T-3,T-3|13-15%|NEUTRAL,NOT FOUND,3.0,13-15%,T-3,T-3|13-15%|NEUTRAL,NOT FOUND,False
