date,iv,spot,atm_strike,expiry,dte,method
2026-03-05,23.94,24737.45,24750,2026-03-10,3,DTE>=2
2026-03-06,29.459999999999997,24469.4,24450,2026-03-10,2,DTE>=2
2026-03-09,33.410000000000004,24005.8,24000,2026-03-17,6,DTE>=2
2026-03-10,24.01,24286.15,24300,2026-03-17,5,DTE>=2
2026-03-11,29.48,23848.2,23850,2026-03-17,4,DTE>=2
2026-03-12,29.28,23639.35,23650,2026-03-17,3,DTE>=2
2026-03-13,36.34,23170.9,23150,2026-03-17,2,DTE>=2
2026-03-16,28.549999999999997,23355.6,23350,2026-03-24,6,DTE>=2
2026-03-17,23.43,23558.8,23550,2026-03-24,5,DTE>=2
2026-03-18,21.060000000000002,23764.1,23750,2026-03-24,4,DTE>=2
2026-03-19,32.24,23087.85,23100,2026-03-24,3,DTE>=2
2026-03-20,32.769999999999996,23134.65,23150,2026-03-24,2,DTE>=2
